ASIN,brand,url,images,title,star,color,color_pic,comment,price_low,price_high,feature
B07HMP2V1Y,New,https://www.amazon.com/New-Balance-Prevail-Minimus-Magnet/dp/B07HMP2V1Y/ref=sr_1_1?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-1,"https://images-na.ssl-images-amazon.com/images/I/41HfWFC5RBL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/418lCO6o9WL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Pz3mTy6YL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Eh5N0TKIL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31QtWI7TF4L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31kL%2BujlT1L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41tYVZu2IPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 Prevail V1 Minimus Track and Field Shoe,3.7,"Black/Magnet,White/Black,Lead/Black","https://images-na.ssl-images-amazon.com/images/I/41HfWFC5RBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41LasNUGkEL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41n99LsFysL._SS36_.jpg",4,"TWD 3,920.51","TWD 3,921.81","合成-和-網布
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							田徑鞋
							
						
 
							布料：合成、紡織品"
B075Q4N3T7,keezmz,https://www.amazon.com/KEEZMZ-Breathable-Sneakers-Athletic-Lightweight/dp/B075Q4N3T7/ref=sr_1_2?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-2,"https://images-na.ssl-images-amazon.com/images/I/41fa-WGl2JL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41gKCc4zSEL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HnJsV%2BUKL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XDY9YXN5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41k7U3twZQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51xi-b6775L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/61jIqWS%2BAOL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",keezmz 男士跑步鞋時尚透氣運動鞋網眼軟底休閒運動輕量,4.0,"1-gray,Black,Blue,Full Black,Beige,White","https://images-na.ssl-images-amazon.com/images/I/41fa-WGl2JL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BpJ1nzvOL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41H5xdB49qL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41aFaH-MABL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/5112UJGDJhL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41a1bQxKsFL._SS36_.jpg",832,TWD 555.31,TWD 914.84,"織布
							
						
 
							Foam sole
							
						
 
							超輕，超透氣
							
						
 
							尺寸建議： 正常尺寸！
							
						
 
							材質佳、透氣輕巧而舒適的精選鞋款。 時尚、獨特、耐穿，採用對環境無害的材質
							
						
 
							高彈力 MD 外底，防滑，可適應任何地面；適合派對、運動、室內、室外等任何場合，休閒潮流"
B07KMVLMFZ,WHITIN,https://www.amazon.com/WHITIN-Running-Minimalist-Barefoot-FiveFingers/dp/B07KMVLMFZ/ref=sr_1_3?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-3,"https://images-na.ssl-images-amazon.com/images/I/41FHiwGm-CL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41WPIMG5cUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31OUKHnOTnL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41NLjCLB6pL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31BybyvVvCL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Chle-0J6L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/71Ot7qUJKAL._SS40_PKmb-play-button-overlay-thumb_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",WHITIN 男式 Minimalist Trail Runner 寬鞋頭盒,4.5,"1_ Black,1_ Black/Red,1_ Blue,3_ Black Grey,3_ Camo Black,3_ Camo Green,1_ Black/Gum,1_ Grey,1_ Grey/Gum,1_ Orange,3_ All Black,2_ All Black","https://images-na.ssl-images-amazon.com/images/I/41FHiwGm-CL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bQmISZrdL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bN6mQOgeL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HHdER2iNL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ENMazkDbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41VARAgIgDL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/419ZIS9jbkL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41kjDnoRZ9L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Mb6-2oACL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41sDpJar0IL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41U%2BqUY1gCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41FadsE6OrL._SS36_.jpg",493,"TWD 1,045.58","TWD 1,274.37","Rubber sole
							
						
 
							寬腳趾盒讓您的腳趾散開放鬆。
							
						
 
							使用無動物的產品和工藝生產。
							
						
 
							可拆式鞋墊 (內底)，如果您想要「更多赤腳」感受。
							
						
 
							真正的橡膠鞋底提供絕佳的保護，同時獲得地面回饋。
							
						
 
							請注意，較大尺寸略有偏差。 建議訂購大半號的尺寸。"
B07HMVN55R,New,https://www.amazon.com/New-Balance-4040v5-Track-Orange/dp/B07HMVN55R/ref=sr_1_4?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-4,"https://images-na.ssl-images-amazon.com/images/I/41uGrHU8OqL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51gjwBOTE0L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41kqNOqkljL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41h9rCkPFGL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41IWSIAj75L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41vdeCLgokL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51YqIQCloxL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 4040v5 草地跑步鞋,3.9,"All White/White,Black/Royal,Navy/White,Red/White,Baby Blue/White,Black/Orange,Black/Purple,Black/White,Black/Yellow,Green/White,Grey/White,Maroon/White,Pedroia Camo Black/-,Texas Orange/White,Triple Black/Black,black","https://images-na.ssl-images-amazon.com/images/I/31VLmeddRGL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51s2oVqJd6L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wfKmA8maL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51Ar18X2sBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41X7s4nxAqL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41uGrHU8OqL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wQ2mokocL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41td0Vq6t0L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51NK2NQlOML._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41h9BAmi2VL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41vevtHJMYL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CqjKIACCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41DVc88iiUL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51xwoSqq6DL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31cHLEegbOL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41STY%2Bi1PRL._SS36_.jpg",7,"TWD 2,776.55","TWD 3,006.32","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							表面推薦爲草坪和低頂高度
							
						
 
							不防水，合成織物"
B01N66I2AT,New,https://www.amazon.com/New-Balance-T4040v4-Baseball-Black/dp/B01N66I2AT/ref=sr_1_5?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-5,"https://images-na.ssl-images-amazon.com/images/I/41E%2BD6omGLL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41vhxvK-PXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41RPqwk3N0L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/414NDjr-25L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bt9Suhv6L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bXTtx8i8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Dn7gTjUZL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 T4040v4 草皮棒球鞋,4.2,"Green/White,Royal/White,Black/White,Black/Yellow,Black,White,Black/Orange,Black/Blue,Grey,Red/White,Black Camo,Navy/White,Black/Red","https://images-na.ssl-images-amazon.com/images/I/41ykgozVvEL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XQWWfT5lL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41E%2BD6omGLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51eHhKhnxWL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41aV0pmGCKL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41j-K%2B0JBQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41cttNMnfCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wUb01jOyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BshhJf70L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/510xI4oO7jL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51mPfzkWCML._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/416GNuV6J2L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41GBre7PT7L._SS36_.jpg",314,"TWD 2,082.00","TWD 6,825.51","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 mid-top 從拱門
							
						
 
							Revlite 中底
							
						
 
							採用無車縫材質
							
						
 
							可拆卸插入"
B0728KJ581,Reebok,https://www.amazon.com/Reebok-Workout-Sneaker-Black-Alloy/dp/B0728KJ581/ref=sr_1_6?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-6,"https://images-na.ssl-images-amazon.com/images/I/41gdbjZr0PL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51S%2BvTMjTLL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51DuQyqVBhL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417YeLDU0gL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31WXR1%2BwoPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41dqNGBgwsL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41QI4X6sJ%2BL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Reebok 男款 ROS 健身 Tr 2.0 交叉訓練鞋,4.2,"Black/Alloy/White,Stark Grey/Primal Red/Black,Collegiate Navy/White/Acid Blue,Riot Red/Black/White,White/Cloud Grey/Black/Pewter,White/Black/Blue Beam/Fir,Blue Ink/Collegiate Navy/Pewter/White/Black/Hero Yellow,Stealth/Black/Coal/White/Riot Red,Skull Grey/Collegiate Navy,Black/Rbk Rubber Gum/Whit,Collegiate Navy/Wild Orange,Skull Grey/Collegiate Navy/Retro Yellow","https://images-na.ssl-images-amazon.com/images/I/41gdbjZr0PL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41k09h8VggL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/419U2-nr37L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wMWIaRE-L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41T%2BgCjbzFL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Z-PLxUfkL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41U3m7710UL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ZJl89%2B%2BxL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41O26%2BpocvL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/419ct9j5sBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bk3wQGhAL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51H0a3evBqL._SS36_.jpg",491,"TWD 1,567.88","TWD 3,268.12","100% Mesh/Textile
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							輕量網眼鞋面
							
						
 
							解剖形狀
							
						
 
							Imeva 中底
							
						
 
							4.5 mm 落差
							
						
 
							多表面橡膠大底"
B07DP8YQGQ,9-Spike,https://www.amazon.com/Mizuno-Womens-9-Spike-Advanced-Softball/dp/B07DP8YQGQ/ref=sr_1_7?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-7,"https://images-na.ssl-images-amazon.com/images/I/41Lt60pZElL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41N3M%2BTl88L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31nXKsMcggL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51ZXKZpIk4L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51n1YWU39QL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51TwpJzLKRL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/415h0XtmrML._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",9-Spike Advanced Sweep 4 10 Black/White,4.4,"Black/White,Grey/White,White,White/Navy,White/Red,White/Royal","https://images-na.ssl-images-amazon.com/images/I/41FjFuHWfhL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41u5m5GkbOL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Lt60pZElL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41b4Iko0mbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41RzHCXxgHL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qoYeqgOmL._SS36_.jpg",33,"TWD 1,633.90","TWD 3,594.97","Synthetic
							
						
 
							Brand: Mizuno
							
						
 
							Style:
							
						
 
							Materials: upper / outsole
							
						
 
							Toe Style:
							
						
 
							Closure Type:"
B071Y5L384,Vibram,https://www.amazon.com/Vibram-V-Train-Golds-Trainer-9-5-10/dp/B071Y5L384/ref=sr_1_8?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-8,"https://images-na.ssl-images-amazon.com/images/I/41jL5D83DGL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51pE0WBX2CL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51DP0zdACaL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41JY9-UBrsL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CE2igtRVL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41H3-8tpGdL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41xtkeLovEL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Vibram 男式 V 形火車金色健身房交叉訓練器,4.2,,,36,"TWD 2,024.81","TWD 3,922.14","Fabric or Textile
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							KMD Sport LS 的進化
							
						
 
							1. 為赤腳鞋提供彈性，多一點結構
							
						
 
							特殊繩索牽引力圓弧形 適用於登山繩橫向移動期間可抓握的圓形凸緣圖案
購買即附金色健身房VIP卡"
B01H8ODRL4,Vibram,https://www.amazon.com/Vibram-V-Train-Cross-Trainer-Black-9-9-5/dp/B01H8ODRL4/ref=sr_1_9?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-9,"https://images-na.ssl-images-amazon.com/images/I/41NsZoL009L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51jm%2BLakMtL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51Ll9tMq-QL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41NpXm3PpUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2B-po%2BL%2BhL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41NSYgUSTJL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lndFX-MKL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Vibram 男式 V 形火車交叉訓練鞋,4.3,"Black Out,Black/Green,Indigo/Black/Blue","https://images-na.ssl-images-amazon.com/images/I/41NsZoL009L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41pe71R9mwL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/418Xd%2Bg8ioL._SS36_.jpg",358,"TWD 3,266.82","TWD 5,522.05","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							我們最新版本的 kmd 端口
							
						
 
							1. 為赤腳鞋提供彈性，多一點結構
							
						
 
							特殊繩索牽引力圓弧形 適合登山繩
							
						
 
							橫向移動期間可抓握的圓形凸緣圖案
							
						
 
							抗菌聚脂纖維襪襯裡"
B07HML4FL4,New,https://www.amazon.com/New-Balance-4040v5-Molded-Track/dp/B07HML4FL4/ref=sr_1_10?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=23429fae-990f-41b5-b328-862bb645dd6a&pf_rd_r=Q0C6H7A2Y96W7JT9AXAX&pf_rd_s=merchandised-search-2&pf_rd_t=101&qid=1568964083&rnid=679286011&s=fashion-mens-intl-ship&sr=1-10,"https://images-na.ssl-images-amazon.com/images/I/414rQaz7IpL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/318KfbKx4SL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31My-0tGI8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/21KplE8uaQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31BD7o6TRJL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31uOf7G3h1L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/4113PMQyttL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","New Balance Men's 4040v5 Molded Track and Field Shoe, White, 8 W",,,,,"TWD 2,778.18",,"Synthetic
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							軸測量約 mid-top 從拱門
							
						
 
							Track and Field Shoe
							
						
 
							Fabric: Synthetic"
