ASIN,brand,url,images,title,star,color,color_pic,comment,price_low,price_high,feature
B07VDBDLGG,adidas,https://www.amazon.com/adidas-Kakari-SG-Rugby-Boots/dp/B07VDBDLGG/ref=sr_1_1?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-1,"https://images-na.ssl-images-amazon.com/images/I/41aO-G6HJ6L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BmYrf2xkL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41b74n7zMwL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Nqs6EanvL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Kakari SG 橄欖球靴 - 全黑色,,,,,"TWD 2,946.02","TWD 3,273.39","遮光設計，慶祝阿迪達斯與新西蘭獨有的全黑人
							
						
 
							靴子採用合成皮革鞋面，可防止水漬並提高穩定性
							
						
 
							細節還包括鞋跟拉，易於穿戴，以及 10 公釐鞋跟升高，引腳與地面爆炸性接觸
							
						
 
							這款最新的 Kakari 榮耀橄欖球經典的 8 螺釘配置，輕量鋁製螺釘，可在軟地上抓地力"
B07VHLC2GS,adidas,https://www.amazon.com/adidas-Kakari-SG-Rugby-Boots/dp/B07VHLC2GS/ref=sr_1_2?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-2,"https://images-na.ssl-images-amazon.com/images/I/419-mgG5y%2BL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-jSBjrQtL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wAVO%2Br85L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31lk1Slep4L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41JTdLe0ZeL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41goHTqr8qL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zVTNV24aL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Kakari SG Rugby Boots - Blue,,,,,"TWD 2,585.91","TWD 2,946.02","Designed for scrummaging and forward play, the Kakari SG rugby boots from adidas feature a TPU plate to help keep your foot stable during play
							
						
 
							Traditional 8 stud rugby outsole in a 6x2 configuration provides superb grip on soft natural turf
							
						
 
							TPU band of power weld in forefoot for lateral movement support
							
						
 
							Synthetic upper with textile lining"
B07VTY5ZFQ,adidas,https://www.amazon.com/adidas-Malice-SG-Rugby-Boots/dp/B07VTY5ZFQ/ref=sr_1_3?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-3,"https://images-na.ssl-images-amazon.com/images/I/41MWjjU2BOL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41d3MYBhguL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41gFnPCZDQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41mATBGCfKL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Malice SG 橄欖球靴 - 全黑色,5.0,,,1 位客戶評價,"TWD 2,749.60","TWD 2,946.02","輕量級靴子用於控制
							
						
 
							不對稱蕾絲閉合
							
						
 
							合成鞋面與非停止握把 (NSG)
							
						
 
							輕質柔軟地面鞋底；合成襯裏
							
						
 
							爲了獲得最佳性能和牽引力，請正確擰緊螺栓；這些靴子符合世界橄欖球標準與規定。"
B07JPFH7CW,adidas,https://www.amazon.com/adidas-Kakari-Elite-Rugby-Boots/dp/B07JPFH7CW/ref=sr_1_4?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-4,"https://images-na.ssl-images-amazon.com/images/I/41GfKuxNP5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BGzszTLCL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41259bRCLvL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31ZShscatQL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31BYi2MShgL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31HdRGMi7KL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/313maTmjyAL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Kakari Elite SG 橄欖球靴，藍色,5.0,,,1 位客戶評價,"TWD 2,946.02","TWD 3,702.91","輕量合成 BRAVO 鞋面穩定
							
						
 
							內置的籠子系統提供支持。
							
						
 
							針對柔軟地面優化螺栓圖案
							
						
 
							真皮鞋頭盒
							
						
 
							10 mm 腳跟升高，動態腳部定位"
B07JQ3SCRP,adidas,https://www.amazon.com/adidas-Malice-Rugby-Boots-Orange/dp/B07JQ3SCRP/ref=sr_1_5?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-5,"https://images-na.ssl-images-amazon.com/images/I/41jA2sORxOL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41epe4VX43L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/419bV0K97kL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41y7Qr8bnIL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41VYXugJWoL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lmwS1hh4L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/411uPPTz8FL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Malice SG 橄欖球靴，橙色,2.6,,,2,"TWD 2,454.96","TWD 2,943.08","設計與背線播放器
							
						
 
							不對稱鞋帶創造更大的踢球表面
							
						
 
							Bravo 合成鞋面既輕巧又堅固
							
						
 
							10毫米腳跟提高創造一個動態的腳位置
							
						
 
							貼合，改善車削和切割"
B07JPFVBWN,adidas,https://www.amazon.com/adidas-Kakari-Rugby-Boots-Navy/dp/B07JPFVBWN/ref=sr_1_6?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-6,"https://images-na.ssl-images-amazon.com/images/I/418O-jR09rL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/414wLDwRB5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XcANcjm8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Qjz%2BncJ7L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31K1mBClAjL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Pi2qJqZhL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/81PEl5c%2BAqS._SS40_PKmb-play-button-overlay-thumb_.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Kakari SG 橄欖球靴，海軍藍,5.0,,,8,"TWD 2,422.23","TWD 2,613.74","合成纖維
							
						
 
							前腳 TPU 電源焊接帶可橫向移動
							
						
 
							6x2 螺柱形成以提供精英牽引力
							
						
 
							柔軟地面大底
							
						
 
							合成鞋面
							
						
 
							為確保最佳性能和牽引力，請正確拉緊螺栓"
B07K11VGNB,adidas,https://www.amazon.com/adidas-Malice-Rugby-Boots-Purple/dp/B07K11VGNB/ref=sr_1_7?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-7,"https://images-na.ssl-images-amazon.com/images/I/41%2BLhsoppgL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/416K%2B5m-FlL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31qC4ZtAD9L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31pYOWbnA-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31WX9h-sj%2BL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41PINyB8G0L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41n92QcqcnL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Malice FG 橄欖球靴，黑色,5.0,,,2,"TWD 2,422.23","TWD 2,454.96","設計與背線播放器
							
						
 
							不對稱鞋帶創造更大的踢球表面
							
						
 
							Bravo 合成鞋面既輕巧又堅固
							
						
 
							10毫米腳跟提高創造一個動態的腳位置
							
						
 
							模製鞋墊非常適合草地或堅固地"
B006QXE73G,Nike,https://www.amazon.com/Nike-Mercurial-Victory-Hyper-Black/dp/B006QXE73G/ref=sr_1_8?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-8,"https://images-na.ssl-images-amazon.com/images/I/41omN7qFRgL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41EogJ5lkoL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/413GyKZvKhL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/3151ANToH0L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BrL6aGfOL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41wRROeB8UL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41D-SSCu-xL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Nike Kids' Mercurial Vapor XI CR7 FG Soccer Cleats,4.2,"Deep Royal Blue,Black,Cool Grey,Racer Blue,Bright Mango/Metallic Silver,Black White Dark Grey,Racer Pink,Urban Lilac,White/Volt/Total Orange/Black,White,Black/White/Dark Grey,Grey,Squadron Blue,Black, Hyper Pink,Hypr Punch/Mtlc Gld Cn/Blk/Vlt,Purple,Laser Orange/Black/White/Volt,University Red/Black/Crimson,Black White Dark Grey 002,Black/Hyper Punch/White,(University Red/Black/Bright Crimson),Black/Dark Grey/White,Total Crimson/Black/Pink Blast/Volt,Volt/Hyper Pink/Black,Seaweed/Volt,Orange-black,Hyper Pink/Black,Metallic Silver/Black-hyper Turquoise-black,Blue Tint/White,Blue Tint, Black, White, Blue Tint,Crimson,Seaweed/Hasta/White/Volt,Green,Pure Platinum/Ghost Green/Hyper Turquoise/Black,Wolf Grey/Volt/Gym Blue/Wolf Grey,CRIMSON,Urban Lilac Black Bright Mango White,Blue Orbit/White/Navy,Hyper Punch/Black/Volt/Metallic,Light Armory Blue/Armory Blue/Armory Navy,Obsidian/White","https://images-na.ssl-images-amazon.com/images/I/51q5yC1iDzL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41lPjhy-jkL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51p51bjkiIL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51ify6yYnDL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41j137gAOpL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31xmT3u3RzL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ziJv2N4GL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UDwK9B98L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/414GPoWbrKL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Ks4Um%2BjtL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41cXMxmadjL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ai2yvfYDL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41p2wYVtBwL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41h857lM2nL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UJeuPjaFL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UDwK9B98L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41spGHvkRWL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/519sg6m9-vL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31xmT3u3RzL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qtn7xflFL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41iCSljbMtL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41PxPX7NCLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41thcxIrHJL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/319oWxdWnQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51hJRDrNMBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51JNYdO%2BJKL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41omN7qFRgL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ztzC%2Bgq-L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XTcI0qTQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XTcI0qTQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41WJYxby0qL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31%2BNE5Lo1lL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/411d4Q5V2TL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51hjMl6wDUL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41j%2BoqZkiXL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31OVIBaxUHL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31N3TzrE9eL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Bk0baJKXL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41l-I1r9WJL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41WsqbguGCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41g8kAGuFnL._SS36_.jpg",333,"TWD 1,309.16","TWD 9,820.84","皮革
							
						
 
							Synthetic sole
							
						
 
							限量版 Cristiano Ronaldo 靈感圖案，兼具風格與獨特外觀
							
						
 
							合成皮革鞋面與浮雕橫幅提升球感、觸感和耐用性，可提供持久的性能
							
						
 
							低調的腳趾盒可讓您進入球下
							
						
 
							輪廓穿孔鞋墊提供低至地面緩衝，並減少鞋釘壓力
							
						
 
							輕量壓縮尼龍板與堅實的地面釘配置，旨在鏡射腳的形狀，以獲得更舒適的體驗，並提供牽引力、速度和對 FG 表面的支持"
B0793G93X8,adidas,https://www.amazon.com/adidas-Malice-Rugby-Boots-Black/dp/B0793G93X8/ref=sr_1_9?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-9,"https://images-na.ssl-images-amazon.com/images/I/51zqm3qPx8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CAkWifbEL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41woB2EfpxL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41OdfzkAEkL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Malice Control SG 橄欖球靴,4.0,,,2,"TWD 2,749.60",,"合成纖維
							
						
 
							專為支援玩家設計
							
						
 
							握感舒適合腳 在切割和轉動時牢牢固定腳部
							
						
 
							輕盈透氣合成網眼鞋面
							
						
 
							混合螺栓配置
							
						
 
							不對稱繫帶系統提供大面積的踢腳面"
B07L9JKD8N,adidas,https://www.amazon.com/adidas-Kakari-Light-Rugby-Boots/dp/B07L9JKD8N/ref=sr_1_10?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569459071&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-10,"https://images-na.ssl-images-amazon.com/images/I/41vNXtAx9GL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nd56VkngL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41q6sbE2glL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/317xUwYsF8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31b2N%2BdkvbL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31hFqjIYLhL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/81ushuUoQ5S._SS40_PKmb-play-button-overlay-thumb_.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas Kakari Light SG 橄欖球靴，藍色,3.5,,,2,"TWD 4,582.88","TWD 6,097.63","10 公釐鞋跟提升用於爆炸加速
							
						
 
							SprintFrame 鞋底重量輕，不會犧牲強度或穩定性
							
						
 
							真皮鞋頭盒
							
						
 
							針對軟地面優化了螺栓配置"
