ASIN,brand,url,images,title,star,color,color_pic,comment,price_low,price_high,feature
B002JK6QTS,Nike,https://www.amazon.com/Air-Force-1-315122-111-10-5/dp/B002JK6QTS/ref=sr_1_1?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-1,"https://images-na.ssl-images-amazon.com/images/I/41HJnZ7UjbL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41QBxCGw29L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41peymR42nL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UbQ1NW7YL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41yGwJKdYiL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31itaVaRmuL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qrBGOXf1L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Nike Men’s Air Force 1 Low Sneaker,4.5,"White/White,Black/Black,Cyber/Cyber-white,Volt/Volt/White/White,Blue Recall/White,Metallic Gold/Black,Flax / Flax -Gum Light Brown,Wolf Grey / White,Wolf Grey/White,Black/Amarillo,Black/Gym Blue,White/White-white,Pure Platinum/Psychic Pink/Black,Black/White-white,Blue (Obsidian/Obsidian-white 400),Siren Red/White,Armory Navy/Armory Navy,Blue Obsidian/White,Black (White/White/Metallic Gold 102),Atmosphere Grey/Sunset Pulse/White,Team Orange/White,Binary Blue/Black,White_white,All Black,Vintage Wine/Black,White,Black/White,Wolf Grey/Wolf Grey-white,Midnight Navy/White,Black,Black/Sail,Black / Black-white,Black/Particle Beige,Hyper Royal/Sail Royal Hyper,Multicolor,Violet-blue,Blue,Team Red/Team Red/White,Flax, Flax-gum Light Brown","https://images-na.ssl-images-amazon.com/images/I/41HJnZ7UjbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UC8nr0ZIL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41i--rUwFLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41y4v5st7VL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Q2oldGWLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51qUbQU7CyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41N3F7RanSL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41oZNF3SfTL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nkppuKe0L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41gms2Fr2xL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51XFycb6yyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41i%2BtZPf7bL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zvdC5f0nL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/414rXsLpnAL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Rkocup0%2BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51R5jj1vgxL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51r5YQ1R8jL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Rkocup0%2BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41k%2BlUTEbJL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HJnZ7UjbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BprOBkULL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/415ljZCo91L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41rleIIbVhL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41oX6vttidL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zvdC5f0nL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HJnZ7UjbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/419iyE4ICfL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zyi3538vL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41u0-Nc-aNL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41hi0KOTkkL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CQT1S41EL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/413gd0RHgeL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41pQA0xXnPL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41JmhdpF3tL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BvclBML6L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Q2oldGWLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/412H0vXmYXL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qUSi%2Bvy%2BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51gLxdNcieL._SS36_.jpg","1,130","TWD 2,453.98","TWD 20,064.64","Leather-And-Synthetic
							
						
 
							Rubber sole
							
						
 
							軸測量大約 3.22」從拱門
							
						
 
							鞋頭穿孔細節
							
						
 
							低筒設計，加墊腳踝領，舒適
							
						
 
							厚底，外側有浮雕「空氣」標誌"
B00Q6ZBZDY,男款,https://www.amazon.com/Nike-Basketball-Shoes-Black-Anthracite/dp/B00Q6ZBZDY/ref=sr_1_2?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-2,"https://images-na.ssl-images-amazon.com/images/I/41yk2af1hzL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Rh9L0rSqL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31nlyzvYosL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bdYKGXR5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41V7vKKyAkL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",男款 Nike Air Visi Pro IV NBK 籃球鞋 黑色 / 黑色,4.4,"Black/Anthracite,Black/Bright Crimson/University Red/Metallic Platinum,white/cool grey/black","https://images-na.ssl-images-amazon.com/images/I/41yk2af1hzL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41L-dpl1C6L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Df5W0gAQL._SS47_.jpg",269,"TWD 2,239.55","TWD 4,648.68","Synthetic
							
						
 
							Rubber sole
							
						
 
							軸測量大約 2.92」從拱門
							
						
 
							平衡合成皮革和鞋領設計 專為舒適而設計 讓這款球員擁有無可比擬的鞋款 讓遊戲更上一層樓
							
						
 
							Tri-vis Air - 鞋底單元在鞋跟中提供衝擊保護，全尼龍中底增加輕量緩衝
							
						
 
							堅實橡膠與人字紋 提供牽引力和彈性凹槽"
B07PN88ZS7,Nike,https://www.amazon.com/Nike-Kyrie-Irving-White-Basketball/dp/B07PN88ZS7/ref=sr_1_3?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-3,"https://images-na.ssl-images-amazon.com/images/I/51STS1leDeL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/513AqiHDiLL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51cEvv5uMsL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41JQhxc7pFL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ij9ZCHOzL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Nike 男款 Kyrie 5 尼龍籃球鞋,4.4,,,8,"TWD 4,320.99","TWD 8,511.35","Synthetic
							
						
 
							Fabric sole
							
						
 
							設計網眼鞋面提供彈性支撐和透氣性。
							
						
 
							Flytrap-inspired 覆蓋和飛電線線提供安全的中腳鎖定。
							
						
 
							加墊鞋領可支撐和保護阿基里斯肌腱。
							
						
 
							加強鞋頭提供耐磨性。
							
						
 
							Air Zoom Turbo 緩衝與焊接通道提供極佳的能量回饋。"
B07NPDP6V7,Jordan,https://www.amazon.com/Jordan-Basketball-Sneakers-Metallic-Gold-white/dp/B07NPDP6V7/ref=sr_1_4?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-4,"https://images-na.ssl-images-amazon.com/images/I/41DixmR69jL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41jqb3gwHPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BFq8GjuNL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41pU58A0nqL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BLN88-SgL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Jordan Air Legacy 312,3.8,,,4,"TWD 3,921.26","TWD 8,182.67",sku=av3922-007
B07K8BMNMC,Reebok,https://www.amazon.com/Reebok-Royal-BB4500-Basketball-White/dp/B07K8BMNMC/ref=sr_1_5?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-5,"https://images-na.ssl-images-amazon.com/images/I/41BGBcV1xJL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41E9WKRo1JL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41s4c5N9CBL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BgA5tQEoL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31b%2BYS8gC8L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41eXr812xFL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BtXbLGbuL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Reebok 男款 Royal Bb4500 Hi2，,4.5,"Black/Alloy,Black/Solid Teal/True Grey/White,True Grey/Collegiate Navy/Blue/Green/White,White/Crushed Cobalt/Neon Lime/Cold Grey,White/Lgh Solid Grey,Black/White/Primal Red/Light,Collegiate Navy/Solid Grey/White,White/Coll Royal/Primal R,Black/Black/Camo,Collegiate Navy/Solid Grey/Black/White,Excellent Red/Black/White,Navy/Washed/Blue/Camo,White/Black/Excellent Red,Cold Grey/Cobalt/White,White/White/Camo","https://images-na.ssl-images-amazon.com/images/I/417KpCrmdaL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41YqMOK7sRL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41GCIvzMYKL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/318CtUohanL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XmE2MxnQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/412k%2BY4SKdL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/415L6UiH8mL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bEz%2Bwh%2BDL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41VNeG3QivL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/417iSpq8NkL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41yKfBuVFQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41cQvvwxPXL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41NxDg%2BHz4L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41p790Q6gHL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BGBcV1xJL._SS36_.jpg",154,"TWD 1,063.63","TWD 3,529.07","皮革與布料
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量大約 low-top」從拱門
							
						
 
							Reebook 鞋
							
						
 
							進口"
B01N0TE83R,NIKE,https://www.amazon.com/NIKE-Precision-Basketball-Shoes-Black-M/dp/B01N0TE83R/ref=sr_1_6?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-6,"https://images-na.ssl-images-amazon.com/images/I/51JULC68vWL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51NCpU9kmxL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51zQEGTq7mL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51FMJs8EI%2BL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/510dLjwDb9L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41dthYga2kL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51FUck-WN%2BL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",NIKE 男款 Air Precision 籃球鞋,4.0,"Wolf Grey/Black-dark Grey,White/Black/Cool Grey,Black Mtlc Dark Grey White,Black/White-cool Grey,Black Black Gum Light Brown,Game Royal/White-m,Blue","https://images-na.ssl-images-amazon.com/images/I/51JULC68vWL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41rfDypT0hL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41gA5-REE-L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2B5L1aotrL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41EzzwobLwL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/51qa5OQT4rL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/51QZ%2BoeMsyL._SS47_.jpg",73,"TWD 1,914.15","TWD 4,596.31","合成纖維
							
						
 
							suede sole
							
						
 
							繫帶設計"
B07BRW55TT,NIKE,https://www.amazon.com/NIKE-Mamba-Basketball-Shoes-Platinum/dp/B07BRW55TT/ref=sr_1_7?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-7,"https://images-na.ssl-images-amazon.com/images/I/51RvxRIjkVL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51RvxRIjkVL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",NIKE 男款 Kobe Mamba Rage 籃球鞋,4.1,"White/Hyper Grape/Green Glow,Dark Grey/Black/Pure Platinum/White,White/Black/Pure Platinum,Black,Black/Dark Grey-m,Black/Bright Crimson/Sail,Black/Metallic Gold/Anthracite,Black/Tour Yellow/Court Purple,Anthracite/White-black,Electric Green/Black/Volt,Black/Anthracite/Opti Yellow,Blue Nebula/Black/Blue Gale/White,Pink Blast/White,White/Hyper Grape-green Glow,Anthracite/White/Black","https://images-na.ssl-images-amazon.com/images/I/513T0ixdz2L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/51RvxRIjkVL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41c7J%2BbxyXL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41dpV2wCVAL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41jSbT39dCL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41agpYuWMIL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41PZiP17ueL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41PjkHkHWcL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/413Tfj-Jo3L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/51qlz0rsXxL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41pR11IQ%2BXL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41hYjHTBldL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41oUZHjEB2L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/513T0ixdz2L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Nl8mkpPML._SS47_.jpg",91,"TWD 2,782.34","TWD 8,183.98","合成纖維
							
						
 
							型號：908974001
							
						
 
							適合性別：男性
							
						
 
							顏色：復古/白色-黑色
							
						
 
							越南製造
							
						
 
							全新附原廠鞋盒"
B073NQT8MJ,Jordan,https://www.amazon.com/Jordan-Mens-Lift-Black-Anthracite/dp/B073NQT8MJ/ref=sr_1_8?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-8,"https://images-na.ssl-images-amazon.com/images/I/315H%2BEmzH5L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UV0cwhacL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31rgq8yX2wL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31FckHl14WL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31QVGBiYbzL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31C9TXIiI2L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31ZXvtzvbRL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Jordan 男款 Lift Off,4.1,"Black Gym Red White,Black Anthracite Black,Black/White-university Red,Olive Canvas / Cone-black-white","https://images-na.ssl-images-amazon.com/images/I/412OvbUE59L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/315H%2BEmzH5L._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/31BcuA2IllL._SS47_.jpg,https://images-na.ssl-images-amazon.com/images/I/41xwlSORFNL._SS47_.jpg",45,"TWD 3,173.87","TWD 8,182.67","合成纖維
							
						
 
							Rubber sole
							
						
 
							型號：AR4430300
							
						
 
							適合性別：男性
							
						
 
							顏色：橄欖油畫布 / 炭黑 - 白色
							
						
 
							中國製造
							
						
 
							全新附原廠盒"
B07L1PVXV6,Jordan,https://www.amazon.com/Jordan-Jumpman-Hustle-Basketball-Purple/dp/B07L1PVXV6/ref=sr_1_9?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-9,"https://images-na.ssl-images-amazon.com/images/I/412il5ZUBAL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31I%2B6-fqGoL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Bx5Ubei%2BL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31ZAmzQ6HEL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31YtHlhx9hL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","Jordan Men's Jumpman Hustle Basketball Shoes (10.5, Purple/White)",,,,,"TWD 4,255.51",,"patent-leather
							
						
 
							Rubber sole
							
						
 
							Zippered midfoot shroud
							
						
 
							Stretching tongue entry for a snug and seamless feel
							
						
 
							Forefoot Zoom Air unit for responsive cushioning
							
						
 
							Tongue and heel pull tabs for an easy on and off
							
						
 
							Modified herringbone pattern for multi-surface traction"
B07NJCFS6T,Jordan,https://www.amazon.com/Nike-Jordan-Legacy-Metallic-AV3922-007/dp/B07NJCFS6T/ref=sr_1_10?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569439235&rnid=10294506011&s=fashion-mens-intl-ship&sr=1-10,"https://images-na.ssl-images-amazon.com/images/I/41DixmR69jL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41jqb3gwHPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BFq8GjuNL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41pU58A0nqL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41%2BLN88-SgL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Jordan Legacy 312 男裝,4.7,"Black/White,Bright Blue/White/University Red Leather Basketball,Black/Black/Fire Red,Black/Metallic Gold/White,粉紅色,White Baroque Brown/Wheat,White,White, Field Purple, Amarillo","https://images-na.ssl-images-amazon.com/images/I/41YI%2BtuzNZL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41yncFrhk%2BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Graq2dO7L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41DixmR69jL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41agqKUD%2B1L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41adZ%2BZCcBL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41515YkVw1L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41fGdKtbk5L._SS36_.jpg",29,"TWD 3,208.25","TWD 11,755.28","synthetic-and-fabric
							
						
 
							Leather sole
							
						
 
							光滑皮革結構。
							
						
 
							三元素混合物
							
						
 
							大象印花防泥
							
						
 
							進口
							
						
 
							100% 正品。"
