ASIN,brand,url,images,title,star,color,color_pic,comment,price_low,price_high,feature
B017SQWZJW,Salomon,https://www.amazon.com/Salomon-Speedcross-Trail-Runner-Black/dp/B017SQWZJW/ref=sr_1_1?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-1,"https://images-na.ssl-images-amazon.com/images/I/51gQi-%2B024L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417Lguj7ThL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/315nv8uccmL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Luib076aL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/71z4iVcSuES._SS40_PKmb-play-button-overlay-thumb_.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",Salomon 男式 Speedcross 4 越野跑鞋,4.4,"Dark Cloud,Black/Black/Black Metallic,Black,Slate Blue/Black/Blue Yonder,Deep Lagoon/Acid Lime/Reflecting Pond","https://images-na.ssl-images-amazon.com/images/I/41UvdmI7SEL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/411d8PtDdgL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/411d8PtDdgL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-vBdLsgxL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41hIjeELrHL._SS36_.jpg","1,683","TWD 3,175.18","TWD 7,595.03","Textile and Synthetic
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							Agressive Grip : Obvious and penetrating traction on soft ground.
							
						
 
							Precise Foothold : Close-to-foot and comfortable feel.
							
						
 
							Contragrip rubber sole; MIDSOLE HEIGHT : 30mm/20mm (10mm drop);WEIGHT: 310gAggressive Grip : Obvious and penetrating traction on soft ground , minimalistic and strong lace for one-pull tightening. Easy-on, easy-off.
EVA midsole provides lighweight cushioning and stability"
B01MYZ7WWX,ASICS,https://www.amazon.com/ASICS-Gel-Venture-Running-Frost-Phantom/dp/B01MYZ7WWX/ref=sr_1_2?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-2,"https://images-na.ssl-images-amazon.com/images/I/415HlpAAWuL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51Kl2Bad5mL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/514%2BJTGO-VL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-qjwlNcdL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41L9ZC6TGiL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31vuTVHY8-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41YptCnOa7L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",ASICS Mens Gel-Venture 6 Running Shoe,4.5,"Black/Phantom/Mid Grey,Frost Grey/Phantom/Black,Indigo Blue/Black/Energy Green,Aluminum/Black/Directoire Blue,Cedar Green/Lava Orange,Black/Dark Grey,Carbon/Cayenne,Grand Shark/Neon Lime,Phantom/Sunflower,Stone Grey/Stone Grey,Black/Gray,Blue/Green,Green,Grey/Orange/Black,Victoria Blue/Blue/Black,Blue/Black,Grey/Blue,Light Grey/Cayenne,Stone Grey,Black/Lime,Metropolis Black,Metropolis/Glacier Grey,Graphite Grey Black,Lychee/Black/Whisper White,Black/Black,Red/Black","https://images-na.ssl-images-amazon.com/images/I/41-cQauRfpL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/415HlpAAWuL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41F41OijuSL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51xsZADAOKL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41mGemxQE9L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51y-ChSh5bL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/11JsCnceIoL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zPqO8ksEL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41IvOdMzlCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41anyCI9-9L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ef7jnrW5L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51qp0kaudjL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51NRE3BEeIL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41klh6IQ55L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Anw2DSotL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HL5Bcz1wL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nS1jRlxyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/516TTtQfwgL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41esCv9RidL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zlnLaho-L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41hXkH5MG1L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51QWdNUq6BL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/517fEph7MxL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41zD1PPQmLL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41sBDoxK1xL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41FR4vkE5pL._SS36_.jpg","4,631","TWD 1,276.42","TWD 4,767.52","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							後跟 GEL 緩衝系統： 在衝擊階段減震，並使腳步平順地轉換至站立中期。
							
						
 
							可拆式鞋墊： 鞋墊可拆，適用矯正型鞋墊。
							
						
 
							越野專用大底： 反向顆粒突起提供各種地形上下坡時的抓地力。
							
						
 
							AHAR大底： ASICS 抗高磨損橡膠（ASICS High Abrasion Rubber）的縮寫。 置於大底的關鍵區域讓鞋子更加耐穿。"
B01HD6SXWA,SALOMON,https://www.amazon.com/Salomon-Trail-Running-Shoes-black/dp/B01HD6SXWA/ref=sr_1_3?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-3,"https://images-na.ssl-images-amazon.com/images/I/41Hz-SYiwIL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/417Y0Hs%2BsxL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41RuLylSp%2BL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31W0PtSAwdL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31mHtTJUWML._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CGFV56QPL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41XGqSejESL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",SALOMON Men's Xa Pro 3D,4.4,"Chive/Black/Beluga,Black/Magnet/Quiet Shade,Black,Chive","https://images-na.ssl-images-amazon.com/images/I/41%2Bv7PPoyrL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Hz-SYiwIL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Hz-SYiwIL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/415QAMBVQ5L._SS36_.jpg","1,924","TWD 3,895.73","TWD 7,725.98","100% Textile and Synthetic
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							Stability : 3d chassis stabilizes the foot without sacrificing forefoot mobility
							
						
 
							Precise fit: sensifit with quick lace delivers a fast, comfortable fit for every foot.
							
						
 
							Aggressive grip: contagrip with aggressive lug design ensures grip on all surfaces and terrain types.Outsole: high abrasion contagrip / high traction contagrip  . Protective heel cap.
Chassis: 3d advanced chassis"
B01NCA5OH8,New,https://www.amazon.com/New-Balance-481V3-Cushioning-Running/dp/B01NCA5OH8/ref=sr_1_4?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-4,"https://images-na.ssl-images-amazon.com/images/I/51qm63f13YL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51svfX-A2AL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51sCuddxTzL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41nZnNEWodL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41oNp%2BkGKSL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41qwufz2koL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51Qa8DOFhvL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 481V3 緩衝越野跑鞋,4.1,"Black,Grey,Steel","https://images-na.ssl-images-amazon.com/images/I/51O0WLyOyQL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51qm63f13YL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51edyzmVxrL._SS36_.jpg",906,"TWD 1,403.77","TWD 4,863.44","皮革與織品
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							柔軟內底
							
						
 
							AT TREAD 大底
							
						
 
							NB 超柔軟舒適內襯"
B07DBLFTZT,adidas,https://www.amazon.com/adidas-Mens-Racer-Reborn-Black/dp/B07DBLFTZT/ref=sr_1_5?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-5,"https://images-na.ssl-images-amazon.com/images/I/31Gb7hgZZeL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41CBnG-nrwL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41mNv8k4WtL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31cHnPosK-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31dPbbf4kmL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31dsO58-gML._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31YkAyqClwL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas 男款 Lite Racer Reborn,4.3,"Black/Black/Active Red,Black/Black/Grey,Black/White/Grey,Grey/White/Collegiate Royal,Trace Blue/White/Tech Ink,Dark Blue/Dark Blue/Shock Cyan","https://images-na.ssl-images-amazon.com/images/I/41HykFd79dL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/31Gb7hgZZeL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41y89iZ6N3L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41E-olYNk-L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Yw4qRBNoL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41BTuJhEnOL._SS36_.jpg",97,"TWD 1,489.22","TWD 4,594.34","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							一般版型
							
						
 
							織布鞋面耐用性
							
						
 
							享受 OrthoLite 漂浮鞋墊的舒適性和性能
							
						
 
							結合 Cloudfoam 中底與大底，提供步入式舒適度與絕佳緩衝效果
							
						
 
							像襪子般的結構能擁抱雙腳"
B07KN4NF44,WHITIN,https://www.amazon.com/WHITIN-Minimalist-Barefoot-Sneakers-Treadmill/dp/B07KN4NF44/ref=sr_1_6?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-6,"https://images-na.ssl-images-amazon.com/images/I/41FHiwGm-CL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41WPIMG5cUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31OUKHnOTnL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41NLjCLB6pL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31BybyvVvCL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Chle-0J6L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/71Ot7qUJKAL._SS40_PKmb-play-button-overlay-thumb_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",WHITIN 男式 Minimalist Trail Runner 寬鞋頭盒,4.5,"1_ Black,1_ Black/Red,1_ Blue,1_ Grey,1_ Grey/Gum,1_ Orange,3_ All Black,3_ Black Grey,3_ Camo Black,3_ Camo Green,Replacement Insole,1_ Black/Gum,2_ All Black,2_ Black","https://images-na.ssl-images-amazon.com/images/I/41FHiwGm-CL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bQmISZrdL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41bN6mQOgeL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41kjDnoRZ9L._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41Mb6-2oACL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41sDpJar0IL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41U%2BqUY1gCL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41HHdER2iNL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ENMazkDbL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41VARAgIgDL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41jXSBB6ozL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/419ZIS9jbkL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41FadsE6OrL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41dpIrer6JL._SS36_.jpg",500,TWD 327.04,"TWD 1,276.42","Rubber sole
							
						
 
							寬腳趾盒讓您的腳趾散開放鬆。
							
						
 
							使用無動物的產品和工藝生產。
							
						
 
							可拆式鞋墊 (內底)，如果您想要「更多赤腳」感受。
							
						
 
							真正的橡膠鞋底提供絕佳的保護，同時獲得地面回饋。
							
						
 
							請注意，較大尺寸略有偏差。 建議訂購大半號的尺寸。"
B01NCA4UDR,New,https://www.amazon.com/New-Balance-Resistant-Cushioning-Running/dp/B01NCA4UDR/ref=sr_1_7?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-7,"https://images-na.ssl-images-amazon.com/images/I/41gXcsvmCyL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51ZSyU3jcOL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51J%2B%2Bn0xsAL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41JPiEnrAbL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41s2%2B6qhcpL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41LGDhEYmLL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51KZNW1RDTL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 481V3 防水緩衝越野跑鞋,4.0,"Black/Grey,Brown","https://images-na.ssl-images-amazon.com/images/I/41gXcsvmCyL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51zR-qOLX-L._SS36_.jpg",375,"TWD 1,840.81","TWD 5,152.18","皮革
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							柔軟內底
							
						
 
							NB 超柔軟舒適內襯"
B01FSDCZPQ,New,https://www.amazon.com/New-Balance-MT10V1-Minimus-Running/dp/B01FSDCZPQ/ref=sr_1_8?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-8,"https://images-na.ssl-images-amazon.com/images/I/41UBII6x6YL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51IIPQtqkTL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/416GE3x22-L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41-pQPY0YvL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/419UDSmKgcL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41gVKvwJryL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41ZSaYQtNkL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",New Balance 男款 MT10V1 Minimus 越野跑鞋,4.3,"Black/Silver,Grey/Yellow,Grey/Orange","https://images-na.ssl-images-amazon.com/images/I/4185BFq8oJL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41UBII6x6YL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41c7RO5XQeL._SS36_.jpg",843,"TWD 3,163.40","TWD 7,202.84","合成／網布
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量大約 Low-Top」從拱門
							
						
 
							Acteva 中底。 這雙鞋尺寸偏小。 建議訂購比平常穿著的 NB 尺寸大半號的尺寸
							
						
 
							抗菌處理以減少異味，Vibram 大底採用彈性凹槽，能在岩石路上提供卓越的牽引力和耐用性
							
						
 
							4 mm 下降 - 因開發和製造過程中產生的差異，所有參考值均為 4 mm 落差
							
						
 
							防臭處理"
B017SQZUA8,SALOMON,https://www.amazon.com/Salomon-Womens-Speedcross-Runner-Metallic/dp/B017SQZUA8/ref=sr_1_9?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-9,"https://images-na.ssl-images-amazon.com/images/I/41T80zuO3sL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41JI%2BBZhc3L._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41spkcj6MxL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31hfdu21ioL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41PQ45igGaL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/412MF7DBCzL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/11zL7xqwCaS._SS40_PKmb-play-button-overlay-thumb_.png,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",SALOMON Men's Speedcross 4 W Trail Runner,4.5,,,85,"TWD 3,273.39","TWD 6,973.03","100% Textile and Synthetic
							
						
 
							Imported
							
						
 
							Synthetic sole
							
						
 
							Aggressive Grip: The fourth generation of our legendary Speedcross lug pattern is an even hungrier monster for eating up soft, technical trails
							
						
 
							Precise Foothold: Feel one with the trail with a precise combination of Sensifit with Quicklace, performance last shape and endoFit. For wet and dirty terrain trail
							
						
 
							OUTSOLE: Wet Traction Contagrip. Sockliner- Molded eva, eva shaped footbed and ortholite. Features mid feather upper construction
							
						
 
							MISOLE: Molded EVA / Lightweight Muscle / injected EVA
							
						
 
							>2 RUNS PER WEEK"
B01N5M5K0B,adidas,https://www.amazon.com/adidas-Terrex-Tracerocker-Running-Utility/dp/B01N5M5K0B/ref=sr_1_10?pf_rd_i=16225019011&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=a8717793-9e88-48bb-b385-3487bae57557&pf_rd_r=A0Y4T1VK1Z4K6VG1HJJN&pf_rd_s=merchandised-search-left-2&pf_rd_t=101&qid=1569431984&rnid=679286011&s=fashion-mens-intl-ship&sr=1-10,"https://images-na.ssl-images-amazon.com/images/I/41V%2BfZd%2BkWL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/51mX8Be12kL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41eNXyp3LGL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31IbrfyzOXL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/31S9SvYa3LL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/4174t8BYWHL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/I/41KEHD-meUL._AC_US40_.jpg,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif",adidas 戶外男士 Terrex Tracerocker 越野跑鞋，,4.4,"Black/Black/Utility Black,Grey Four/Black/Semi Solar Yellow,Utility Grey/Black/Simple Brown,Red/Carbon","https://images-na.ssl-images-amazon.com/images/I/41V%2BfZd%2BkWL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/417Jb3NAClL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/41OTCfMLNEL._SS36_.jpg,https://images-na.ssl-images-amazon.com/images/I/51gRgG4nwEL._SS36_.jpg",201,"TWD 1,962.60","TWD 5,498.87","合成纖維
							
						
 
							Imported
							
						
 
							Rubber sole
							
						
 
							軸測量約 low-top 從拱門
							
						
 
							加長舒適
							
						
 
							輕盈 EVA
							
						
 
							高牽引橡膠大底
							
						
 
							透氣"
