日期,標題,內容,網址
2019/09/27,不要懷疑！Reebok 真的跟 adidas 聯名了！,"日前 adidas 與集團旗下公司 Reebok 共同打造了一雙全新「聯名」鞋款，與科技融合作為出發，把經典的 Instapump Fury 鞋型注入 BOOST 科技，帶來了 Instapump Fury Boost 鞋款。Reebok 最具代表性的 Instapump Fury 鞋款搭配 adidas 當家 BOOST 科技，對許多鞋頭們來說絕對是躍躍欲試的組合。但可惜的是這次聯名僅於日本發售 50 雙，但可能又是一波飢餓行銷，日後可能會看到更大量的數量商品上架。

",http://overdope.com/archives/436481
2019/09/27,Travis Scott x Nike AF 1聯名鞋款細覽,"透過油皮、麂皮、燈芯絨、帆布等材質拼接，搭配粉、黃、黑、綠、深藍等多重顏色，Travis Scott x Nike Air Force 1 的設計十分前衛搶眼；特別是類似大衣設計的 鞋舌拉鏈遮蓋布內，帶來與以往 AF1 不同的視覺體驗。此鞋款目前消息傳出於 11 月才會上架，感興趣的朋友不妨參考一番。
 
        
",http://overdope.com/archives/436469
2019/09/26,HUMAN MADE x adidas「Love」討喜紅心設計釋出,"HUMAN MADE 此次透過簡單可愛的紅心 logo 設計，與 adidas 推出 Solar Glide 與 Hu NMD 等聯名鞋款。簡潔有力的設計搭配吸睛的紅心鞋頭成為相當討喜的外型。此次首波於 Farfetch 和 Browns 等平台率先推出並已經完售，感興趣的朋友務必等待日後更多通路的上架。
 
  
 
 
",http://overdope.com/archives/436464
2019/09/26,CLOT 不斷走「絲路」！CLOT x Air Jordan I Mid 「白絲綢」首度曝光,"看過了昨天  CLOT X AF1「藍絲綢」 的無預警曝光後，這次 CLOT 再度走「絲路」，看到了一雙疑似 CLOT x Air Jordan I Mid 的細節照出現。從圖片上可看到 Air Jordan I 的鞋面正是「白絲綢」式樣，而 Swoosh 勾勾則是透過「刺繡」方式呈現，十分具有細節。有興趣的朋友不妨持續關注 OVERDOPE 日後的追蹤報導。
 
 
",http://overdope.com/archives/436462
2019/09/25,Nike 10 月重磅聯名鞋款一覽！,"10 月份的聯名豐富程度不在話下，此次更看到了目前已得知 10 月份即將發售的重磅鞋款整理，其中包括了 Virgil Abloh 、 sacai 、Travis Scott 等多款選擇，而 Jordan Brand 的選擇也自然不在話下。大家看過之後準備好入手哪雙鞋款呢？
 

 
",http://overdope.com/archives/436425
2019/09/25,誰還記得任天堂主機！Nike AM 97「Nintendo 64」設計鞋款懷舊登場！,"Nike Air Max 97 此次看到推出「Nintendo 64」的手把設計概念鞋款，配色上以 Nintendo 64 作為發想使用包過了有銀色、紅色、綠色與藍色等。細節上看到了還原 Nintendo 64 手把上的「開始鍵」、「A/B 鈕」等。而鞋舌標籤上的 Nike logo 被替換為「Power」和「Reset」，十分有趣。此鞋款於北美時間 9 月 25 日正式展開販售，售價美金 $170 元整，感興趣的朋友不妨先行參考。
 







 
",http://overdope.com/archives/436402
2019/09/25,Nike X CLOT「藍絲綢」AF 1 無預警曝光！,"Nike 和香港潮牌 CLOT 再度聯手打造了另一款合作的 Air Force 1，而此次的發想來自於過去曾經在 2009 年雙方推出過的「白絲綢」版本 AF1，此次選擇了「Royal Blue」的藍色，而選擇這個配色是因為配色的英文單字上帶有「Royal」忠誠一詞，而陳冠希也藉此表示對 Nike 的忠誠。對此鞋款感興趣的朋友，敬請期待日後帶來的更多訊息。
  


",http://overdope.com/archives/436403
2019/09/25,Virgil Abloh x Nike Vapor Street 發售訊息曝光！,"Virgil Abloh 與 Nike 合作鞋款不斷曝光，而最新的消息則是早前 Virgil Abloh 與 Nike 於 Off-White 秀場上登場的 Virgil Abloh x Nike Vapor Street 全新聯名鞋款，現在也有了正式發售消息曝光。此波 Virgil Abloh x Nike Vapor Street 系列共有三款配色，並且預計於 10 月 12 日正式推出發售，感興趣的朋友們還請持續關注 OVERDOPE 後續報導。

 
",http://overdope.com/archives/436404
2019/09/25,「虎虎」生風的 Air Jordan 1 登場惹！,"Jordan Brand 旗下最熱門鞋款之一的 Air Jordan 1 此次曝光了一款全新軍事風虎紋迷彩配色 Air Jordan 1 Mid。與傳統的軍事風虎紋迷彩不同，此次設計上選用了多種顏色的虎紋作為搭配，整體視覺效果十分搶眼。但此鞋款目前預計為專為女生打造的 GS 尺碼，感興趣的男生可能要嘗試大一點的尺寸了。 








",http://overdope.com/archives/436405
2019/09/24,閃瞎你的眼！YEEZY BOOST 350 V2「Yeezreel」實物曝光！,"YEEZY BOOST 350 V2 系列的全新配色 「Yeezreel」實物終於曝光！據海外情報單位指出，此款 YEEZY BOOST 350 V2 「Yeezreel」的儲光效果圖首度正式曝光，並可從底下圖片中看到，鞋身的黑調配色在夜間拍攝具有反光效果。此款 YEEZY BOOST 350 V2 「Yeezreel」可能將於 2019 年 12 月展開販售，感興趣的朋友們不妨期待。
 


 
",http://overdope.com/archives/436386
2019/09/24,Nike Air Force 1 華麗蛇紋登場,"近日一款以全蛇紋設計的 Air Force 1 突襲登場，鞋身整體採用蛇紋皮革打造、搭配白色中/大底呈現，帶來狂野奔放的視覺效果。此款全新蛇紋配色將於近期發售，感興趣的朋友不妨參考一番
 






",http://overdope.com/archives/436388
2019/09/24,詹皇斯旗下媒體公司推出 Nike 聯名鞋款,"由 NBA 湖人隊看板巨星 leBron James 所成立的運動員發聲平台/媒體公司 Uninterrupted 這次曝光了與 Nike 所 一同打造的全新 Air Force 1 鞋款，以白色作為基底搭配荔枝皮面料，與 Uninterrupted 「More than a athelete 不只是名運動員」的精神標語放置於鞋後跟上。此款 Uninterrupted x Nike Air Force 1 聯名鞋款尚未曝光完整樣貌，感興趣的朋友不妨持續追蹤關注 OVERDOPE 報導。

 
",http://overdope.com/archives/436392
2019/09/24,最帥雨鞋登場！Gore-Tex x Nike 機能愛好者必備！,"
Gore-Tex 是許多品牌包括Supreme 以及 The North Face 等的愛用機能面料，此次 Nike 曝光了將與 Gore-Tex攜手推出的全新設計鞋款。選用 Nike 經典 Air Force 1 High 作為基底，配色上則使用乳白色鞋身搭配天藍色調 Swoosh 勾勾，同時覆蓋著 Gore-Tex 防水機能面料。此鞋款預計將於 2019 年下半年發售，感興趣的朋友們不妨期待。
 









",http://overdope.com/archives/436379
2019/09/24,搶先 Travis Scott 發布！Nike Air Force 1「黑骷髏」發售日釋出！,"
廣受好評的高顏值 Nike Air Force 1「黑骷髏 Black Skeleton 」在之前曝光後廣受好評，現在傳出了釋出販售日期之後，感興趣的朋友們相信也準備好開搶！

Nike Air Force 1「Black Skeleton」以 Nike Air Force 1 作為基底搭配黑色調鞋身與骷髏骨骼，印製在 Nike 招牌  Swoosh 勾勾上。此款 Nike Air Force 1「Black Skeleton」預計將於 10 月 25 日正式發售，感興趣的朋友們不妨參考。








",http://overdope.com/archives/436378
2019/09/23,Virgil Abloh x Nike SB 三色同框！準備好做出選擇了嗎？,"預計於 10 月份登場的 Virgil Abloh x Nike SB Dunk Low 系列，現在除了完整曝光了所有配色之外，海外還有鄉民一次取得所有配色版本並同框拍照！雖然鞋款設計本身圖片傳出時比較不討喜，但看到實著圖之後似乎感覺好很多。現在一次看到所有配色同框，你是否也已經想好了要入手什麼顏色呢？
 












",http://overdope.com/archives/436371
2019/09/23,讓人想衝動消費！Air Jordan 5 「Top3」新配色全貌釋出！,"在 Jordan 5 「Top3」 的全新配色首度曝光後，這款由 Air Jordan 5 三款經典配色拼接組成的 AJ 5 現在也正式推出了完整鞋款全貌。圖中可看見 Air Jordan 5 整體基底配色選用黑紅主調配色，而鞋款大底搭配經典銀色火焰與鞋舌處紫色點綴則是來自「黑銀」與「紫葡萄」兩款經典配色。此款 Air Jordan 5 「Top3」 預計將於 2020 年正式發售，感興趣的朋友們不妨期待。

 
",http://overdope.com/archives/436370
2019/09/23,Zion Williamson 還沒上場就傳出 Jordan 將為他打造簽名鞋？,"新科 NBA 狀元 Zion Williamson 在 NCAA 的奪目表現加上夏季聯賽的成績讓他的前景看好甚至孩成為 Jordan Brand 最高薪的簽約新秀。而目前傳出了 Jordan Brand 正在為 Zion Williamson 設計個人簽名球鞋，這對新秀來說絕對是無可置信的絕高尊榮，十分令人期待！
 
 
",http://overdope.com/archives/436363
2019/09/22,YEEZY 500 「Stone」 簡潔釋出,"YEEZY 500 承襲老爹鞋的復古風格，「Stone」 配色透過淺黃色搭配淺米白色成為了本次的配色呈現，而網面鞋身與鞋側 3M 反光細節點綴也同樣是亮點所在。「Stone」 配色也是「Bone White」 之後的簡潔之作，此配色預計將於今年 10 月推出發售，務必鎖定。
 



 
",http://overdope.com/archives/436361
2019/09/22,Air Jordan 3 推出「動物園組合」？！,"Air Jordan 3 此次最新配色看到了鞋款整體以蛇紋、鱷魚皮、鴕鳥皮等多種仿動物紋理的皮革所組成打造，整體質感十足、透過不同皮革組成更有奢華的氛圍。此雙鞋款將於 2020 年春季推出發售，喜歡的朋友不妨關注 OVERDOPE 的後續報導。
 
 

",http://overdope.com/archives/436359
2019/09/22,Nike Air Max 2 Light 熊貓配色登場,"Nike Air Max 2 Light 是不少復古愛好者心愛鞋型，後掌的 Air Max 大氣墊給人十分舒適的腳感。近日全新「熊貓」配色的 Air Max 2 Light 實圖終於釋出，鞋身採用十分乾淨利落的黑/白雙色呈現，百搭氛圍呼之欲出。此款配色已於近期展開販售，喜歡的朋友不妨參考。
 






 

",http://overdope.com/archives/436356
2019/09/22,凡凡上腳 Air Jordan 1 聯名帥到沒朋友,"今日 Kris 吳亦凡在自己的 IG 上曝光了近日的工作狀態，順便在休息時曝光了一張腳上的 Travis Scott x Air Jordan 1 Low 聯名款，而這雙同樣也是鞋頭們想要購入的夢幻鞋款。總之近日凡凡不斷晒工作動態，看來可能很快會有新作品要跟我們見面了吧？！
 


 
",http://overdope.com/archives/436353
2019/09/22,YEEZY BOOST 350 V2 「Yecheil」上腳示範！,"YEEZY BOOST 350 V2 「Yecheil」 全新配色實物今天終於曝光上腳實著。整體配色選用純黑基調搭配紅、銀灰以及鞋後跟藍色與綠色點綴，勾勒出鞋款整體的色調拼接風格。目前消息指出此 YEEZY BOOST 350 V2 「Yecheil」 可能會在今年 12 月份正式推出發售，具體的發售消息請關注 OVERDOPE 報導。
 









",http://overdope.com/archives/436351
2019/09/20,余文樂親身演繹 New Balance 580 最新鞋款,"New Balance 最新代言人余文樂此次上腳最新 580 鞋款，看到同樣擁有獨家 ABZORB 緩震中底與 C-CAP 科技，機能性能滿足日常穿搭與通勤。New Balance 全新 580 系列即將登陸 New Balance 指定銷售店舖，感興趣的朋友不妨參考一番。
 







 
",http://overdope.com/archives/436339
2019/09/20,Air Jordan 5「紫葡萄」配色升級登場！,"Jordan Brand 系列中的人氣鞋款 Air Jordan 5 推出了「紫葡萄」配色升級提案。圖中的紫色版本與 Air Jordan 5 過往的「紫葡萄」不同的是，此次選用了更為藍調的復古紫色，而鞋款選用高品質的麂皮面料呈現。此款 Air Jordan 5 預計於 2020 年正式發售，感興趣的朋友不妨期待。
 

 
",http://overdope.com/archives/436337
2019/09/20,心動！Air Jordan 4 簡潔白紅配色登場預告！,"今年作為 Air Jordan 4 發布第三十週年，近日又曝光了一款全新白紅配色的 Air Jordan 4。以白色鞋身搭配紅色 logo 與大底，材質看到了高級荔枝皮結合金屬感強烈的銀色鞋帶扣，整體相當簡潔有力、具有豐富質感。此款 AJ4 預計將於 2020 年 6 月 6 日展開發售，喜歡的朋友不妨期待。


",http://overdope.com/archives/436336
2019/09/20,Virgil Abloh x Nike SB 灰紅配色圖片清晰釋出,"Virgil Abloh x Nike Dunk SB 的全新配色細節圖片已清晰釋出，選用了 Nike Dunk SB 作為聯名鞋款使用，整體配色以紅/灰色調為主、搭配搶強眼橘色鞋帶呈現。有關這款 Virgil Abloh x Nike Dunk SB 的發售消息尚未完整公布，感興趣的朋友們不妨追蹤我們的後續報導。
 








 

",http://overdope.com/archives/436332
2019/09/19,AJ 6 最新顏值擔當靠著雙？,"Jordan Brand 新配色鞋款在近日短時間內持續不斷露出曝光，現在也看到了一雙首度露面的全新 Air Jordan 6 配色。設計上運用簡約耐看的淺灰色調呈現，搭配純白大底與紅色點綴，整體顏值可謂是正常發揮。這款 Air Jordan 6 新配色預計於 2020 年展開發售，進一步具體的發售日期請請持續關注 OVERDOPE 的後續報導。

 
",http://overdope.com/archives/436299
2019/09/19,adidas Torsion X 全新亮眼珊瑚橙配色登場,"今年適逢 adidas Torsion 科技誕生三十週年，許多 Torsion 的經典鞋款當然也陸續重塑推出。現在看到了 adidas Torsion X 同時搭載 Torsion 與 Boost 科技，並以珊瑚橙的全新配色釋出。設計上看到鞋身的米白色大面積麂皮與頂級皮革的使用，質感不在話下；另搭配鞋側身、中底與內襯的清爽珊瑚橙配色，視覺效果上看起來相當舒適。這鞋款預計將於 9 月 21 日在海外地區發售，喜歡的朋友不妨 先行參考一番。








 
 
",http://overdope.com/archives/436297
2019/09/19,John Elliott x LeBron Icon 粉色版即將發售！,"Nike 北美官網終於正式釋出預告，John Elliott x Nike LeBron Icon 粉色版將於9月19日正式發售！此鞋款整體採用淡粉色作為呈現，搶眼度感十足。機能上則使用了 LeBron 8 的全掌式 Air 氣墊，具有極佳腳感，喜歡的朋友不妨參考一番。
 







 
 
",http://overdope.com/archives/436295
2019/09/19,CPFM x Nike Air Force 1 黑色版本 ASAP Rocky 親自上腳曝光,"CPFM (Cactus Plant Flea Market) 與 Nike 的 Air Force 1 聯名新作消息不斷曝光， 現在更看到了 A$AP Rocky 上腳了全新的 CPFM x Nike Air Force 1 黑色版本。與版色版本設計一致，鞋身則改以全黑色呈現。如果是你會選擇想要那個顏色呢？





",http://overdope.com/archives/436290
2019/09/18,YEEZY BOOST 700 V2「Hospital Ball」上腳實穿,"YEEZY BOOST 700 V2 全新配色「Hospital Ball」 今日看到了海外鄉民率先上腳示範。清爽的灰藍配色果然搭配純白褲款就能輕鬆駕馭，看過示範後是否考慮衝一波呢？
 









 
 
",http://overdope.com/archives/436286
2019/09/18,全新 Air Max 98 萬聖節版本登場,"萬聖節即將於10月底到來，照慣例 Nike 當然會為了這特別的節日推出主題鞋款，而除了黑色腳骨的 Air Force 1 之外，今天又看到一款全新主題與配色曝光、以 Nike Air Max 98 做為使用，鞋身搭配深藍色、黑色與深灰色等作為呈現的萬聖節限定款式。這款 Air Max 98 「Halloween」 預計將於 10 月下旬發售，感興趣的朋友不妨先行參考一番。
 









 
 
",http://overdope.com/archives/436271
2019/09/17,Off-White x Nike SB Dunk Low 灰紅配色正式曝光,"Off-White x Nike SB Dunk Low 聯名系列的配色消息接二連三的不斷曝光，而這次則看到了灰紅配色、搭配橘色鞋帶的正式曝光。雖然鞋身擁有紅色呈現，但此配色跟過往曝光過的 Off-White x Nike SB Dunk Low 配色比較起來較不那麼的搶眼。
而此款 Off-White x Nike SB Dunk Low 灰紅配色目前也尚未有完整販售訊息曝光，是否會與其他相同系列鞋款一起於 10 月登場也尚未得知，但感興趣的朋友不妨在正式發表之前，考慮一下哪款顏色才是自己最喜歡的。
 
 
",http://overdope.com/archives/436257
