標題,發文時間,鞋評內容
TalkSole 歡迎你,2017年5月10日 星期三,"

<TalkSole>



波鞋可以是日常穿著，可以是運動所需，更可以是收藏珍品。無論你是哪一個年代，<TalkSole> 也希望每個人都可以成為sneakerhead。就讓我們從原版說到復刻，再從現今技術研究至未來設計，隨時與大家往返古今中外，穿越這條波鞋時光隧道！






"
"[SoleFresh] - ”LOVE OF THE GAME”  - JORDAN X CONVERSE PACK - ""UNC Alumni”",2017年6月23日 星期五,"





""LOVE OF THE GAME""  - JORDAN X CONVERSE PACK - ""UNC Alumni”





在Michael Jordan進入NBA盟之當時，簽下了可以說是一個NBA最獨特的條約，那就是”LOVE OF THE GAME” 

這項獨特的條約就是球隊不能對Michael Jordan在任何地方及時間打籃球而作出干預和限制。Jordan對於籃球的熱愛和追求不單止在這裹開始，早在Michael Jordan進入NBA之前也可以體會到他對籃球的熱愛。所以亦促成了今次的JORDAN X CONVERSE PACK - ""UNC Alumni”





這個套裝包括了Air Jordan 2  和 Converse Fastbreak Low ，是次套裝還罕有地附送印有雙方Logo的精美鞋袋。







Converse Fastbreak成為了Michael Jordan最後一次穿著NIKE品牌以外的籃球鞋款，同時Michael Jordan亦穿上了Converse Fastbreak Mid去迎戰1984年在洛杉磯奧運會，最後亦成功地幫助美國隊贏取金牌。而今次的套裝則是推出了低筒版本 Converse Fastbreak Low，鞋面採用了皮革和經典尼龍面料，復古味道十足，同時用上了大家最為熟悉的UNC北卡藍配色為主題 ，Converse Fastbreak Low更注入了NIKE Lunarlon 鞋墊，大大增加了舒適程度。





















（圖片來自：Jordan Brand）





在套裝另一雙就是Air Jordan 2 PE “Alumni”



這雙是Air Jordan 2就是Michael Jordan在1987年6月28日，代表UNC與UCLA對陣時的學校友誼賽中所穿著的。所以Air Jordan 2在後跟上更是特別印上”MJ”和""6/28/87” 





除此之外，是次配色更是按照原本方案－“Alumni” 鞋身以白色為主調，漆黑的中底，再配上後跟北卡藍和鞋底後方的芝加哥紅色作為點綴，把原本經典的Air Jordan 2 PE “Alumni”再次完美呈現。















"
"[SoleFresh] - ”LOVE OF THE GAME”  - JORDAN X CONVERSE PACK - ""UNC Alumni”",2017年6月23日 星期五,"





""LOVE OF THE GAME""  - JORDAN X CONVERSE PACK - ""UNC Alumni”





在Michael Jordan進入NBA盟之當時，簽下了可以說是一個NBA最獨特的條約，那就是”LOVE OF THE GAME” 

這項獨特的條約就是球隊不能對Michael Jordan在任何地方及時間打籃球而作出干預和限制。Jordan對於籃球的熱愛和追求不單止在這裹開始，早在Michael Jordan進入NBA之前也可以體會到他對籃球的熱愛。所以亦促成了今次的JORDAN X CONVERSE PACK - ""UNC Alumni”





這個套裝包括了Air Jordan 2  和 Converse Fastbreak Low ，是次套裝還罕有地附送印有雙方Logo的精美鞋袋。







Converse Fastbreak成為了Michael Jordan最後一次穿著NIKE品牌以外的籃球鞋款，同時Michael Jordan亦穿上了Converse Fastbreak Mid去迎戰1984年在洛杉磯奧運會，最後亦成功地幫助美國隊贏取金牌。而今次的套裝則是推出了低筒版本 Converse Fastbreak Low，鞋面採用了皮革和經典尼龍面料，復古味道十足，同時用上了大家最為熟悉的UNC北卡藍配色為主題 ，Converse Fastbreak Low更注入了NIKE Lunarlon 鞋墊，大大增加了舒適程度。





















（圖片來自：Jordan Brand）





在套裝另一雙就是Air Jordan 2 PE “Alumni”



這雙是Air Jordan 2就是Michael Jordan在1987年6月28日，代表UNC與UCLA對陣時的學校友誼賽中所穿著的。所以Air Jordan 2在後跟上更是特別印上”MJ”和""6/28/87” 





除此之外，是次配色更是按照原本方案－“Alumni” 鞋身以白色為主調，漆黑的中底，再配上後跟北卡藍和鞋底後方的芝加哥紅色作為點綴，把原本經典的Air Jordan 2 PE “Alumni”再次完美呈現。















"
[Sole 聞風] - 未來之靴：JORDAN SUPER.FLY 2017,2017年6月22日 星期四,"


未來之靴：JORDAN SUPER.FLY 2017




Jordan Brand 運動員Blake Griffin穿著全新Super.Fly 2017





搭載了Nike React科技的Jordan Super.Fly 2017 是為全能型籃球運動員打造的終極戰靴，幫助他們保持腳步平穩。 


「腳步動作對每位運動員都很重要。我們的球鞋需要適用於賽場上的所有動作，」 Jordan Brand全球設計副總裁David Creech表示。「運動員在比賽中的實際需求驅使我們不斷創新。當對創新的追求與Jordan Brand的DNA結合，對品牌傳統的繼承和對籃球的痴迷融合，我們開創了籃球運動的未來。」







為了讓球鞋能支持籃球場上的多種動作，首先要評估抓地力需求。在設計Jordan Super.Fly 2017時，設計團隊利用Nike運動研究實驗室的壓力圖精準定位出四個關鍵的壓力點，並以此打造出這雙鞋多向的抓地紋理。Super.Fly 2017的外底圖案基於運動員的大數據庫設計，無論是轉身過人、變向過人還是急停跳投，它的外底能滿足運動員的一切需求。 這些動作是Jordan Brand運動員Blake Griffin那極具爆發力的比賽中不可或缺的部分。通過對Blake Griffin需求的分析，Super.Fly 2017的設計實現了舒適度與響應性的理想平衡。實現這一平衡的是全掌的Nike React核心，這一質輕的裝置能夠同時提供緩震和能量反饋。在Nike React泡棉與外底間的穩定片增加了抗扭剛性。







「面對一整個賽季的比賽，你的鞋子需要讓你的腳保持清爽，還要讓你起跳更輕鬆，」Blake Griffin表示。「我需要一雙能幫助我起跳，同時提供緩震和支撐的球鞋。」 無論是橫向切入籃下還是灌籃前的全力衝刺，Super.Fly 2017利用Nike React泡棉增強了每一個腳步的緩震。「你立刻會注意到Nike React的響應性，」Blake Griffin說。「無論你做什麼動作，它都緊緊跟隨著你。」











舒適和響應性也是Super.Fly
2017貼合的一片式鞋面的重要特色。不管鞋帶鬆緊，這種結構都能提供自然的貼合感，支持運動員的不同偏好並控制爆發力。使整體設計得以完整的是向Air Jordan IV 和 XI致敬的圖案細節，它同時也展現了鞋款對Jordan
Brand的DNA的繼承。





「我們的工作是要打造一個優美的鞋型，並以合適的圖案細節為之潤色。在Super.Fly 2017上，我們延續了Jordan Brand設計的核心要素之一：光滑的鞋頭設計。 除此之外，腳踝處的手寫體「Flight」字樣則紀念了Flight系列。」David Creech說道。 

面向大中華區發售的產品採用了更適合亞洲人的設計。前掌加寬設計更加適合亞洲人穿著，腳背加高帶來更舒適的穿著體驗。PFX版本在外底採用耐磨橡膠，增強鞋底耐磨度。同時也為消費者提供透氣性更佳的 Mesh版本。



圖片來源: NIKE


"
"[SoleFresh] - ”LOVE OF THE GAME”  - JORDAN X CONVERSE PACK - ""UNC Alumni”",2017年6月23日 星期五,"





""LOVE OF THE GAME""  - JORDAN X CONVERSE PACK - ""UNC Alumni”





在Michael Jordan進入NBA盟之當時，簽下了可以說是一個NBA最獨特的條約，那就是”LOVE OF THE GAME” 

這項獨特的條約就是球隊不能對Michael Jordan在任何地方及時間打籃球而作出干預和限制。Jordan對於籃球的熱愛和追求不單止在這裹開始，早在Michael Jordan進入NBA之前也可以體會到他對籃球的熱愛。所以亦促成了今次的JORDAN X CONVERSE PACK - ""UNC Alumni”





這個套裝包括了Air Jordan 2  和 Converse Fastbreak Low ，是次套裝還罕有地附送印有雙方Logo的精美鞋袋。







Converse Fastbreak成為了Michael Jordan最後一次穿著NIKE品牌以外的籃球鞋款，同時Michael Jordan亦穿上了Converse Fastbreak Mid去迎戰1984年在洛杉磯奧運會，最後亦成功地幫助美國隊贏取金牌。而今次的套裝則是推出了低筒版本 Converse Fastbreak Low，鞋面採用了皮革和經典尼龍面料，復古味道十足，同時用上了大家最為熟悉的UNC北卡藍配色為主題 ，Converse Fastbreak Low更注入了NIKE Lunarlon 鞋墊，大大增加了舒適程度。





















（圖片來自：Jordan Brand）





在套裝另一雙就是Air Jordan 2 PE “Alumni”



這雙是Air Jordan 2就是Michael Jordan在1987年6月28日，代表UNC與UCLA對陣時的學校友誼賽中所穿著的。所以Air Jordan 2在後跟上更是特別印上”MJ”和""6/28/87” 





除此之外，是次配色更是按照原本方案－“Alumni” 鞋身以白色為主調，漆黑的中底，再配上後跟北卡藍和鞋底後方的芝加哥紅色作為點綴，把原本經典的Air Jordan 2 PE “Alumni”再次完美呈現。















"
[Sole 聞風] - 未來之靴：JORDAN SUPER.FLY 2017,2017年6月22日 星期四,"


未來之靴：JORDAN SUPER.FLY 2017




Jordan Brand 運動員Blake Griffin穿著全新Super.Fly 2017





搭載了Nike React科技的Jordan Super.Fly 2017 是為全能型籃球運動員打造的終極戰靴，幫助他們保持腳步平穩。 


「腳步動作對每位運動員都很重要。我們的球鞋需要適用於賽場上的所有動作，」 Jordan Brand全球設計副總裁David Creech表示。「運動員在比賽中的實際需求驅使我們不斷創新。當對創新的追求與Jordan Brand的DNA結合，對品牌傳統的繼承和對籃球的痴迷融合，我們開創了籃球運動的未來。」







為了讓球鞋能支持籃球場上的多種動作，首先要評估抓地力需求。在設計Jordan Super.Fly 2017時，設計團隊利用Nike運動研究實驗室的壓力圖精準定位出四個關鍵的壓力點，並以此打造出這雙鞋多向的抓地紋理。Super.Fly 2017的外底圖案基於運動員的大數據庫設計，無論是轉身過人、變向過人還是急停跳投，它的外底能滿足運動員的一切需求。 這些動作是Jordan Brand運動員Blake Griffin那極具爆發力的比賽中不可或缺的部分。通過對Blake Griffin需求的分析，Super.Fly 2017的設計實現了舒適度與響應性的理想平衡。實現這一平衡的是全掌的Nike React核心，這一質輕的裝置能夠同時提供緩震和能量反饋。在Nike React泡棉與外底間的穩定片增加了抗扭剛性。







「面對一整個賽季的比賽，你的鞋子需要讓你的腳保持清爽，還要讓你起跳更輕鬆，」Blake Griffin表示。「我需要一雙能幫助我起跳，同時提供緩震和支撐的球鞋。」 無論是橫向切入籃下還是灌籃前的全力衝刺，Super.Fly 2017利用Nike React泡棉增強了每一個腳步的緩震。「你立刻會注意到Nike React的響應性，」Blake Griffin說。「無論你做什麼動作，它都緊緊跟隨著你。」











舒適和響應性也是Super.Fly
2017貼合的一片式鞋面的重要特色。不管鞋帶鬆緊，這種結構都能提供自然的貼合感，支持運動員的不同偏好並控制爆發力。使整體設計得以完整的是向Air Jordan IV 和 XI致敬的圖案細節，它同時也展現了鞋款對Jordan
Brand的DNA的繼承。





「我們的工作是要打造一個優美的鞋型，並以合適的圖案細節為之潤色。在Super.Fly 2017上，我們延續了Jordan Brand設計的核心要素之一：光滑的鞋頭設計。 除此之外，腳踝處的手寫體「Flight」字樣則紀念了Flight系列。」David Creech說道。 

面向大中華區發售的產品採用了更適合亞洲人的設計。前掌加寬設計更加適合亞洲人穿著，腳背加高帶來更舒適的穿著體驗。PFX版本在外底採用耐磨橡膠，增強鞋底耐磨度。同時也為消費者提供透氣性更佳的 Mesh版本。



圖片來源: NIKE


"
[Sole 聞風] - 冠軍之選：NIKE REACT HYPERDUNK 2017 FLYKNIT,2017年6月21日 星期三,"

冠軍之選：NIKE REACT HYPERDUNK 2017 FLYKNIT













Nike React Hyperdunk 2017 Flyknit伴隨Draymond Green贏得總冠軍，搭載了Nike專有的全新Nike React緩震平台，帶來了舒適性，支撐性以及響應性的能量反饋。



自2008年面世至今，Hyperdunk系列已經成為Nike Basketball設計的縮影。每一代Hyperdunk的造型都同時彰顯著全新的創新，是對Nike籃球鞋理念最純粹的呈現。Nike React Hyperdunk 2017 Flyknit再續傳奇，以明快、極簡的審美觀念，將現代融入經典之中，也將Nike Basketball的理念推向新的高度。









首先是鞋底，Nike React Hyperdunk 2017 Flyknit的外底抓地力紋理設計以數據分析為基礎，結合Nike運動研究實驗室提供的壓力分布圖，提供穩定的支撐性，配合準確分布的圓形節點，在需要的地方提供抓地力。密封在球鞋內部，Nike React核心同時帶來三重優勢：輕量性、响應性和耐久性。位於Nike React緩震和外底之間嵌有一塊承托盤，為球鞋加強硬度，控制扭轉。在籃球運動中，這些優勢能夠幫助運動員實現快速突破、順暢起跳並使表現更為持久。Draymond Green表示： 「這款球鞋既輕量，又具有回彈性，可以讓我在球場上隨心所欲的衝刺和移動。」



Flyknit鞋面，為球鞋提供了定點的延展性和透氣性，鞋口則是熟悉的80年代風格，用當代材料演繹而成。與柔軟有彈性的Nike React泡棉類似，Flyknit鞋面平衡演繹了兩全其美的審美，既能立刻讓人聯想到過去的經典，同時又以先鋒設計致敬未來。值得注意的是，精確設計的鞋領，能夠提供自然的靈活性和定制般的貼合。









Nike React Hyperdunk 2017 Flyknit將於8月3日正式發佈，擁有冠軍血統，讓一切變得圓滿。



「能夠首先穿上最新款的Hyperdunk，贏得總冠軍，對我來說非比尋常，」Draymond Green感嘆道。



圖片來源: NIKE

"
"[SoleFresh] - ”LOVE OF THE GAME”  - JORDAN X CONVERSE PACK - ""UNC Alumni”",2017年6月23日 星期五,"





""LOVE OF THE GAME""  - JORDAN X CONVERSE PACK - ""UNC Alumni”





在Michael Jordan進入NBA盟之當時，簽下了可以說是一個NBA最獨特的條約，那就是”LOVE OF THE GAME” 

這項獨特的條約就是球隊不能對Michael Jordan在任何地方及時間打籃球而作出干預和限制。Jordan對於籃球的熱愛和追求不單止在這裹開始，早在Michael Jordan進入NBA之前也可以體會到他對籃球的熱愛。所以亦促成了今次的JORDAN X CONVERSE PACK - ""UNC Alumni”





這個套裝包括了Air Jordan 2  和 Converse Fastbreak Low ，是次套裝還罕有地附送印有雙方Logo的精美鞋袋。







Converse Fastbreak成為了Michael Jordan最後一次穿著NIKE品牌以外的籃球鞋款，同時Michael Jordan亦穿上了Converse Fastbreak Mid去迎戰1984年在洛杉磯奧運會，最後亦成功地幫助美國隊贏取金牌。而今次的套裝則是推出了低筒版本 Converse Fastbreak Low，鞋面採用了皮革和經典尼龍面料，復古味道十足，同時用上了大家最為熟悉的UNC北卡藍配色為主題 ，Converse Fastbreak Low更注入了NIKE Lunarlon 鞋墊，大大增加了舒適程度。





















（圖片來自：Jordan Brand）





在套裝另一雙就是Air Jordan 2 PE “Alumni”



這雙是Air Jordan 2就是Michael Jordan在1987年6月28日，代表UNC與UCLA對陣時的學校友誼賽中所穿著的。所以Air Jordan 2在後跟上更是特別印上”MJ”和""6/28/87” 





除此之外，是次配色更是按照原本方案－“Alumni” 鞋身以白色為主調，漆黑的中底，再配上後跟北卡藍和鞋底後方的芝加哥紅色作為點綴，把原本經典的Air Jordan 2 PE “Alumni”再次完美呈現。















"
[Sole 聞風] - 未來之靴：JORDAN SUPER.FLY 2017,2017年6月22日 星期四,"


未來之靴：JORDAN SUPER.FLY 2017




Jordan Brand 運動員Blake Griffin穿著全新Super.Fly 2017





搭載了Nike React科技的Jordan Super.Fly 2017 是為全能型籃球運動員打造的終極戰靴，幫助他們保持腳步平穩。 


「腳步動作對每位運動員都很重要。我們的球鞋需要適用於賽場上的所有動作，」 Jordan Brand全球設計副總裁David Creech表示。「運動員在比賽中的實際需求驅使我們不斷創新。當對創新的追求與Jordan Brand的DNA結合，對品牌傳統的繼承和對籃球的痴迷融合，我們開創了籃球運動的未來。」







為了讓球鞋能支持籃球場上的多種動作，首先要評估抓地力需求。在設計Jordan Super.Fly 2017時，設計團隊利用Nike運動研究實驗室的壓力圖精準定位出四個關鍵的壓力點，並以此打造出這雙鞋多向的抓地紋理。Super.Fly 2017的外底圖案基於運動員的大數據庫設計，無論是轉身過人、變向過人還是急停跳投，它的外底能滿足運動員的一切需求。 這些動作是Jordan Brand運動員Blake Griffin那極具爆發力的比賽中不可或缺的部分。通過對Blake Griffin需求的分析，Super.Fly 2017的設計實現了舒適度與響應性的理想平衡。實現這一平衡的是全掌的Nike React核心，這一質輕的裝置能夠同時提供緩震和能量反饋。在Nike React泡棉與外底間的穩定片增加了抗扭剛性。







「面對一整個賽季的比賽，你的鞋子需要讓你的腳保持清爽，還要讓你起跳更輕鬆，」Blake Griffin表示。「我需要一雙能幫助我起跳，同時提供緩震和支撐的球鞋。」 無論是橫向切入籃下還是灌籃前的全力衝刺，Super.Fly 2017利用Nike React泡棉增強了每一個腳步的緩震。「你立刻會注意到Nike React的響應性，」Blake Griffin說。「無論你做什麼動作，它都緊緊跟隨著你。」











舒適和響應性也是Super.Fly
2017貼合的一片式鞋面的重要特色。不管鞋帶鬆緊，這種結構都能提供自然的貼合感，支持運動員的不同偏好並控制爆發力。使整體設計得以完整的是向Air Jordan IV 和 XI致敬的圖案細節，它同時也展現了鞋款對Jordan
Brand的DNA的繼承。





「我們的工作是要打造一個優美的鞋型，並以合適的圖案細節為之潤色。在Super.Fly 2017上，我們延續了Jordan Brand設計的核心要素之一：光滑的鞋頭設計。 除此之外，腳踝處的手寫體「Flight」字樣則紀念了Flight系列。」David Creech說道。 

面向大中華區發售的產品採用了更適合亞洲人的設計。前掌加寬設計更加適合亞洲人穿著，腳背加高帶來更舒適的穿著體驗。PFX版本在外底採用耐磨橡膠，增強鞋底耐磨度。同時也為消費者提供透氣性更佳的 Mesh版本。



圖片來源: NIKE


"
[Sole 聞風] - 冠軍之選：NIKE REACT HYPERDUNK 2017 FLYKNIT,2017年6月21日 星期三,"

冠軍之選：NIKE REACT HYPERDUNK 2017 FLYKNIT













Nike React Hyperdunk 2017 Flyknit伴隨Draymond Green贏得總冠軍，搭載了Nike專有的全新Nike React緩震平台，帶來了舒適性，支撐性以及響應性的能量反饋。



自2008年面世至今，Hyperdunk系列已經成為Nike Basketball設計的縮影。每一代Hyperdunk的造型都同時彰顯著全新的創新，是對Nike籃球鞋理念最純粹的呈現。Nike React Hyperdunk 2017 Flyknit再續傳奇，以明快、極簡的審美觀念，將現代融入經典之中，也將Nike Basketball的理念推向新的高度。









首先是鞋底，Nike React Hyperdunk 2017 Flyknit的外底抓地力紋理設計以數據分析為基礎，結合Nike運動研究實驗室提供的壓力分布圖，提供穩定的支撐性，配合準確分布的圓形節點，在需要的地方提供抓地力。密封在球鞋內部，Nike React核心同時帶來三重優勢：輕量性、响應性和耐久性。位於Nike React緩震和外底之間嵌有一塊承托盤，為球鞋加強硬度，控制扭轉。在籃球運動中，這些優勢能夠幫助運動員實現快速突破、順暢起跳並使表現更為持久。Draymond Green表示： 「這款球鞋既輕量，又具有回彈性，可以讓我在球場上隨心所欲的衝刺和移動。」



Flyknit鞋面，為球鞋提供了定點的延展性和透氣性，鞋口則是熟悉的80年代風格，用當代材料演繹而成。與柔軟有彈性的Nike React泡棉類似，Flyknit鞋面平衡演繹了兩全其美的審美，既能立刻讓人聯想到過去的經典，同時又以先鋒設計致敬未來。值得注意的是，精確設計的鞋領，能夠提供自然的靈活性和定制般的貼合。









Nike React Hyperdunk 2017 Flyknit將於8月3日正式發佈，擁有冠軍血統，讓一切變得圓滿。



「能夠首先穿上最新款的Hyperdunk，贏得總冠軍，對我來說非比尋常，」Draymond Green感嘆道。



圖片來源: NIKE

"
